row_number,source_labels,note
7,276|284,notebook row 7
9,370|363,notebook row 9
11,448|455,notebook row 11
13,539|540,notebook row 13 first merge
13,536|532,notebook row 13 second merge
15,618|616,notebook row 15 first merge
15,607|603,notebook row 15 second merge
21,871|870,notebook row 21
23,951|952,notebook row 23 first merge
23,964|959,notebook row 23 second merge
25,1024|1027,notebook row 25 first merge
25,1045|1047,notebook row 25 second merge
28,1181|1176,notebook row 28 first merge
28,1159|1149,notebook row 28 second merge
29,1216|1220,notebook row 29 first merge
29,1210|1208,notebook row 29 second merge
31,1304|1302,notebook row 31
32,1339|1336,notebook row 32 first merge
32,1334|1335,notebook row 32 second merge
33,1383|1371,notebook row 33 first merge
33,1380|1381,notebook row 33 second merge
34,1427|1425,notebook row 34 first merge
34,1422|1423,notebook row 34 second merge
35,1477|1478,notebook row 35 first merge
35,1464|1465,notebook row 35 second merge
36,1527|1520,notebook row 36 first merge
36,1522|1516,notebook row 36 second merge
36,1513|1514,notebook row 36 third merge
38,1587|1582,notebook row 38
40,1692|1693,notebook row 40
