label,area,centroid-0,centroid-1,seg_label,morphology,row_number,column_number,right_to_left
7,361.0,1351.0470914127425,1637.7063711911358,7,intact,1,1,-37
8,279.0,1352.3010752688172,1691.1397849462367,8,intact,1,2,-36
9,350.0,1353.4742857142858,1744.16,9,intact,1,3,-35
11,471.0,1354.4692144373673,1804.343949044586,11,intact,1,4,-34
12,313.0,1355.4376996805113,1859.2012779552715,12,intact,1,5,-33
13,354.0,1356.2966101694915,1912.276836158192,13,intact,1,6,-32
14,379.0,1356.9129287598944,1975.0606860158312,14,intact,1,7,-31
15,377.0,1358.3023872679046,2023.917771883289,15,intact,1,8,-30
20,410.0,1358.4926829268293,2086.858536585366,20,intact,1,9,-29
23,348.0,1360.551724137931,2140.902298850575,23,intact,1,10,-28
16,410.0,1357.7682926829268,2197.8536585365855,16,intact,1,11,-27
17,374.0,1357.3368983957218,2257.0213903743315,17,intact,1,12,-26
18,376.0,1358.6755319148936,2311.821808510638,18,intact,1,13,-25
25,392.0,1361.0765306122448,2363.3571428571427,25,intact,1,14,-24
21,338.0,1360.0650887573966,2426.6360946745563,21,intact,1,15,-23
19,325.0,1359.7446153846154,2478.849230769231,19,intact,1,16,-22
22,494.0,1360.9534412955466,2540.589068825911,22,intact,1,17,-21
26,335.0,1364.6388059701492,2596.089552238806,26,intact,1,18,-20
24,396.0,1363.628787878788,2651.9141414141413,24,intact,1,19,-19
27,417.0,1365.0791366906474,2710.6498800959234,27,intact,1,20,-18
28,385.0,1364.8883116883117,2768.9220779220777,28,intact,1,21,-17
29,335.0,1366.841791044776,2820.8298507462687,29,intact,1,22,-16
30,353.0,1364.7762039660056,2883.781869688385,30,intact,1,23,-15
32,297.0,1366.3535353535353,2932.7979797979797,32,intact,1,24,-14
33,435.0,1366.3609195402298,2993.7540229885058,33,intact,1,25,-13
31,389.0,1364.4087403598971,3052.159383033419,31,intact,1,26,-12
34,400.0,1367.24,3107.9975,34,intact,1,27,-11
35,358.0,1367.63687150838,3164.6256983240223,35,intact,1,28,-10
37,331.0,1370.9003021148037,3221.3957703927495,37,intact,1,29,-9
